RiskScore,CreditScore,AnnualIncome,income_band,LoanAmount,loan_amount_band,LoanDuration,loan_duration_band,DebtToIncomeRatio,TotalDebtToIncomeRatio,payment_to_income_ratio,risk_band,LoanApproved,pred_approval_prob,prob_band,high_conf_under_approved,high_conf_over_approved,exception_type
36.8,576,60227,60k-100k,25264,20k-50k,84,60m+,0.1441126824725377,0.215189684349813,0.12393493149810204,Low,1,0.9985208506892782,low_conf_approve,0,0,none
55.0,592,23861,<30k,19570,5k-20k,36,13-36m,0.2237112245223063,0.6262963304952381,0.36427881236942594,Medium,0,3.796017631919889e-08,low_conf_reject,0,0,none
62.0,667,73843,60k-100k,44668,20k-50k,60,37-60m,0.1569137013697023,0.2696077496339709,0.20655505675854613,Medium,0,2.045271443696164e-08,low_conf_reject,0,0,none
51.0,559,61099,60k-100k,10094,5k-20k,84,60m+,0.265219566244273,0.1262220627848725,0.05158909006846136,Medium,0,0.002581736181338215,low_conf_reject,0,0,none
53.0,535,15000,<30k,11318,5k-20k,120,60m+,0.4483848187309043,0.8451189173630622,0.2683189173630624,Medium,0,1.1530071904548275e-06,low_conf_reject,0,0,none
55.0,520,34738,30k-60k,10166,5k-20k,72,60m+,0.3145138105264432,0.2338510562781137,0.09981916037161369,Medium,0,2.8958227153746574e-05,low_conf_reject,0,0,none
49.0,571,85889,60k-100k,24186,20k-50k,72,60m+,0.0505386436633547,0.2188130896224162,0.09726085359684834,Medium,0,0.00011226807977733932,low_conf_reject,0,0,none
36.0,552,78701,60k-100k,18326,5k-20k,60,37-60m,0.0713019781228963,0.1504954016313275,0.07700205338924669,Low,1,0.9999184010960422,low_conf_approve,0,0,none
45.6,604,24914,<30k,8015,5k-20k,36,13-36m,0.6442658599722689,0.2918588333118991,0.13435702709852518,Medium,1,0.9982122570440726,low_conf_approve,0,0,none
50.0,508,57231,30k-60k,35876,20k-50k,48,37-60m,0.1347406133958152,0.3188759399250725,0.24129560758770247,Medium,0,3.397474600175511e-05,low_conf_reject,0,0,none
37.6,655,163303,100k+,12850,5k-20k,72,60m+,0.072959105598751,0.0468120851183611,0.022048302456683173,Low,1,0.9998617502614376,low_conf_approve,0,0,none
54.0,595,38453,30k-60k,30517,20k-50k,48,37-60m,0.103003264767073,0.4780349185430889,0.30327612209027655,Medium,0,6.9754433315578464e-09,low_conf_reject,0,0,none
44.8,582,99920,60k-100k,23363,20k-50k,12,<=12m,0.2058309595482642,0.2924156916888919,0.25662706078416775,Medium,1,0.5615745155597409,uncertain,0,0,none
47.0,591,57860,30k-60k,25576,20k-50k,96,60m+,0.0743870323199498,0.1747122747083923,0.1417361253824331,Medium,0,0.00022082622540689937,low_conf_reject,0,0,none
53.0,590,30890,30k-60k,10176,5k-20k,24,13-36m,0.1247302171537788,0.3089627143958264,0.19669337156643185,Medium,0,6.879512968203203e-06,low_conf_reject,0,0,none
55.0,500,15561,<30k,20169,20k-50k,36,13-36m,0.3745583771833413,0.8789827706405052,0.6121618722406593,Medium,0,6.969256662667476e-08,low_conf_reject,0,0,none
54.0,530,105957,100k+,53987,50k+,72,60m+,0.6210591922536411,0.2398003695631571,0.19461222720352106,Medium,0,0.001544022291383004,low_conf_reject,0,0,none
50.0,545,82887,60k-100k,20996,20k-50k,84,60m+,0.1515959478647919,0.1509700491891237,0.08278082771892939,Medium,0,0.0004824463182522577,low_conf_reject,0,0,none
47.0,631,53555,30k-60k,29418,20k-50k,60,37-60m,0.1479091377421932,0.2306990330014403,0.18117984711776947,Medium,0,0.00041788734818192104,low_conf_reject,0,0,none
46.0,627,105639,100k+,20409,20k-50k,108,60m+,0.3270783966346243,0.1002983642339339,0.0563373271169601,Medium,0,0.27114255517552704,uncertain,0,0,none
50.0,519,58342,30k-60k,10077,5k-20k,24,13-36m,0.1928691558716403,0.2335023195145061,0.1117375531369393,Medium,0,0.016798846269816734,low_conf_reject,0,0,none
32.800000000000004,653,121939,100k+,41215,20k-50k,48,37-60m,0.2444251231872098,0.1417817003634998,0.1201315310165312,Low,1,0.9999985025618435,low_conf_approve,0,0,none
53.0,526,16054,<30k,20612,20k-50k,36,13-36m,0.2065330441829189,0.9453145676926072,0.5977376398241635,Medium,0,1.5093973770130373e-08,low_conf_reject,0,0,none
51.0,592,36057,30k-60k,29501,20k-50k,36,13-36m,0.187428659092861,0.4998597592758183,0.3720621055608686,Medium,0,1.6640832250017562e-06,low_conf_reject,0,0,none
39.2,631,124086,100k+,36798,20k-50k,24,13-36m,0.3397144748555306,0.2444975801738244,0.17554540184589043,Low,1,0.9998121149202743,low_conf_approve,0,0,none
38.400000000000006,586,272693,100k+,19717,5k-20k,84,60m+,0.2701575024326625,0.0324583175128589,0.02022478016499888,Low,1,0.9999991879335643,low_conf_approve,0,0,none
52.0,615,48757,30k-60k,16173,5k-20k,84,60m+,0.3053767173882865,0.2946505995419076,0.09357178009034164,Medium,0,4.3530002259436004e-05,low_conf_reject,0,0,none
48.0,498,31683,30k-60k,10566,5k-20k,24,13-36m,0.0903706187413158,0.2748476528064098,0.20553603458843822,Medium,0,0.010394973028692368,low_conf_reject,0,0,none
42.400000000000006,499,69003,60k-100k,5376,5k-20k,96,60m+,0.1743798193059494,0.1021499192309803,0.02250120830536846,Medium,1,0.9873148105904959,low_conf_approve,0,0,none
63.0,616,72408,60k-100k,23181,20k-50k,48,37-60m,0.3654388165555161,0.2609354984345637,0.12785628066857094,Medium,0,1.29797258149691e-05,low_conf_reject,0,0,none
44.0,653,105087,100k+,48331,20k-50k,108,60m+,0.1805575456028504,0.2261158840253349,0.13796035574876359,Medium,0,0.18750505910115817,uncertain,0,0,none
48.0,607,15000,<30k,26412,20k-50k,96,60m+,0.3501123923122793,0.9227589445355052,0.5483589445355056,Medium,0,1.0535242226638116e-06,low_conf_reject,0,0,none
52.0,600,38513,30k-60k,21225,20k-50k,48,37-60m,0.1684358288403604,0.3285884173512688,0.21236792037622154,Medium,0,2.789756229335763e-06,low_conf_reject,0,0,none
39.2,527,77555,60k-100k,22854,20k-50k,36,13-36m,0.1882781482364729,0.2086140314895691,0.13140430935688907,Low,1,0.9996903453382255,low_conf_approve,0,0,none
57.0,576,15000,<30k,18177,5k-20k,48,37-60m,0.2360832262016053,0.8804342432710571,0.45803424327105674,Medium,0,1.915411463706947e-10,low_conf_reject,0,0,none
55.0,611,24973,<30k,17466,5k-20k,48,37-60m,0.4149944474463848,0.4265347892196666,0.2650804184992889,Medium,0,3.2646757145002776e-06,low_conf_reject,0,0,none
48.0,574,18248,<30k,16443,5k-20k,24,13-36m,0.0636283363199063,1.018569210587213,0.5365437831431094,Medium,0,4.668113264762843e-07,low_conf_reject,0,0,none
42.400000000000006,615,67367,60k-100k,26889,20k-50k,48,37-60m,0.4659121203237648,0.1950486955031495,0.1385818794062475,Medium,1,0.9950266136224377,low_conf_approve,0,0,none
50.0,647,32418,30k-60k,32208,20k-50k,12,<=12m,0.3187597670827545,1.241946318602034,1.0764826872861004,Medium,0,2.685435102746722e-09,low_conf_reject,0,0,none
50.0,649,26879,<30k,20313,20k-50k,60,37-60m,0.2196495791430893,0.4906432260830812,0.2397410347813215,Medium,0,5.642644026767805e-06,low_conf_reject,0,0,none
36.8,620,54128,30k-60k,20676,20k-50k,36,13-36m,0.1001359210966172,0.2365855211689778,0.16519917768686151,Low,1,0.9988092508802832,low_conf_approve,0,0,none
56.0,535,19924,<30k,21767,20k-50k,48,37-60m,0.3843523709782191,0.7695016785743396,0.4713687735351905,Medium,0,2.6550720935506466e-08,low_conf_reject,0,0,none
34.4,672,90788,60k-100k,18243,5k-20k,36,13-36m,0.1466334645866133,0.102685240220213,0.08246230326819293,Low,1,0.9999952954226952,low_conf_approve,0,0,none
33.6,619,190445,100k+,28894,20k-50k,36,13-36m,0.0128331622197715,0.0881333501556318,0.06897821350200489,Low,1,0.999998155393331,low_conf_approve,0,0,none
50.0,612,35372,30k-60k,25313,20k-50k,24,13-36m,0.4043888356972662,0.5796511273150141,0.4358085399577813,Medium,0,0.00014810483971431653,low_conf_reject,0,0,none
58.0,570,15000,<30k,50226,50k+,48,37-60m,0.2267352834345347,1.7138900559826005,1.2842900559825998,Medium,0,3.785191215614601e-15,low_conf_reject,0,0,none
49.0,617,40829,30k-60k,25478,20k-50k,36,13-36m,0.2537459242072161,0.5011766435212588,0.27045828157264395,Medium,0,0.00010447269622405954,low_conf_reject,0,0,none
51.0,523,58655,30k-60k,26493,20k-50k,96,60m+,0.1751875631410331,0.2048246421828965,0.16267989748934944,Medium,0,2.7035469442811173e-05,low_conf_reject,0,0,none
53.0,531,68801,60k-100k,18652,5k-20k,36,13-36m,0.3352329239387456,0.3176730841316096,0.13558270753824617,Medium,0,0.05894323400907201,low_conf_reject,0,0,none
50.0,619,92731,60k-100k,31116,20k-50k,48,37-60m,0.2211172138523826,0.1771097303726556,0.12586473139712426,Medium,0,0.0004038489678543876,low_conf_reject,0,0,none
64.0,545,40050,30k-60k,112253,50k+,48,37-60m,0.184527533056013,1.4497027068648651,1.3280547667899596,Medium,0,4.570677071247628e-20,low_conf_reject,0,0,none
45.0,618,40784,30k-60k,41465,20k-50k,72,60m+,0.2037609569235825,0.4702315117680041,0.36136528972014226,Medium,0,0.00016160526000933489,low_conf_reject,0,0,none
48.0,588,15000,<30k,26563,20k-50k,48,37-60m,0.2981084080452126,0.9602231910360268,0.6578231910360273,Medium,0,1.2871733396510635e-06,low_conf_reject,0,0,none
36.0,615,86699,60k-100k,7469,5k-20k,60,37-60m,0.17913554613205,0.0844861076147688,0.02732281853415661,Low,1,0.9999942734135567,low_conf_approve,0,0,none
55.0,540,17676,<30k,17801,5k-20k,48,37-60m,0.3556427908501307,0.5500142367013272,0.3965858592403632,Medium,0,6.745029497980193e-07,low_conf_reject,0,0,none
53.0,517,42752,30k-60k,14379,5k-20k,36,13-36m,0.2975879340693383,0.2601629568923058,0.15827298683242563,Medium,0,0.0005854447107636637,low_conf_reject,0,0,none
53.0,570,29096,<30k,40138,20k-50k,24,13-36m,0.2394469395065947,1.164864840154552,0.8823517799400907,Medium,0,1.3427798795309361e-10,low_conf_reject,0,0,none
44.0,663,60992,60k-100k,24642,20k-50k,48,37-60m,0.0555881712831942,0.2824561409823392,0.15181605703690373,Medium,0,0.004324393997722693,low_conf_reject,0,0,none
49.6,524,100032,100k+,19105,5k-20k,60,37-60m,0.2266498679075305,0.160810327525483,0.061961959003410026,Medium,1,0.9978910848305912,low_conf_approve,0,0,none
47.0,620,35882,30k-60k,9259,5k-20k,48,37-60m,0.1475930047073919,0.1801773771362968,0.09422899075872605,Medium,0,0.011206818771666254,low_conf_reject,0,0,none
41.0,623,32781,30k-60k,17468,5k-20k,60,37-60m,0.0937773219549579,0.6129792720342581,0.18102173565647808,Medium,0,0.030827987288491343,low_conf_reject,0,0,none
52.0,585,51707,30k-60k,20069,20k-50k,72,60m+,0.2173883786590151,0.2251745344196735,0.13071923823153667,Medium,0,2.1773747290164387e-05,low_conf_reject,0,0,none
61.0,596,31251,30k-60k,66582,50k+,24,13-36m,0.1601695538852808,1.498355014775571,1.361271401451197,Medium,0,5.133406601648516e-17,low_conf_reject,0,0,none
57.0,524,22359,<30k,26889,20k-50k,48,37-60m,0.4552599311322595,0.586980693270773,0.47105422070938846,Medium,0,9.136034253371517e-08,low_conf_reject,0,0,none
38.400000000000006,610,152650,100k+,24815,20k-50k,48,37-60m,0.3843075055403481,0.0724094276579064,0.06077496974765424,Low,1,0.9999979143371139,low_conf_approve,0,0,none
58.0,562,15120,<30k,21849,20k-50k,84,60m+,0.2386445210334251,0.7681879924283986,0.43247370671411267,Medium,0,3.7196704429916204e-11,low_conf_reject,0,0,none
45.6,570,59830,30k-60k,22734,20k-50k,24,13-36m,0.5723276818607661,0.2757976112735793,0.22645781518466054,Medium,1,0.989208599252741,low_conf_approve,0,0,none
36.8,645,55308,30k-60k,19539,5k-20k,72,60m+,0.2662099288951911,0.1727631084679503,0.09422112539136103,Low,1,0.9998461432967902,low_conf_approve,0,0,none
49.0,601,30948,30k-60k,25291,20k-50k,36,13-36m,0.3603486893761465,0.4870910711311893,0.37619537512498524,Medium,0,0.0004578861560945084,low_conf_reject,0,0,none
50.0,592,56940,30k-60k,15752,5k-20k,96,60m+,0.1172375847043762,0.1277062425991583,0.08281688538103393,Medium,0,7.855449451236783e-05,low_conf_reject,0,0,none
46.0,539,44000,30k-60k,28714,20k-50k,60,37-60m,0.1999940926692494,0.3518220745417639,0.22718571090540027,Medium,0,0.005403337780494706,low_conf_reject,0,0,none
49.0,509,81554,60k-100k,35101,20k-50k,72,60m+,0.2943235497801772,0.237285039409926,0.16091846021086836,Medium,0,0.005350839373484533,low_conf_reject,0,0,none
48.0,612,26567,<30k,17339,5k-20k,60,37-60m,0.0653370744758526,0.3093973859230132,0.22176987811257184,Medium,0,5.8963852053460906e-05,low_conf_reject,0,0,none
52.0,596,33569,30k-60k,37172,20k-50k,48,37-60m,0.0325882994284799,0.4977395683804934,0.4219553627145533,Medium,0,4.428972351261614e-09,low_conf_reject,0,0,none
44.0,608,94238,60k-100k,15917,5k-20k,36,13-36m,0.4589280817317269,0.099902424393051,0.0740529793708731,Medium,1,0.9992374197737385,low_conf_approve,0,0,none
40.0,587,45145,30k-60k,11431,5k-20k,48,37-60m,0.2974102492388263,0.3254839774590545,0.09183684045606405,Medium,1,0.9976405320282934,low_conf_approve,0,0,none
50.0,597,70881,60k-100k,34590,20k-50k,48,37-60m,0.117077159340471,0.2375028889770024,0.18265038971768063,Medium,0,2.0450911856300153e-05,low_conf_reject,0,0,none
55.0,656,105240,100k+,13937,5k-20k,108,60m+,0.1983002305886784,0.0795101627244969,0.034926354286640704,Medium,0,0.024816881045543002,low_conf_reject,0,0,none
57.0,517,63709,60k-100k,22221,20k-50k,48,37-60m,0.4732130443935223,0.2597488981137047,0.14240284025688704,Medium,0,3.549900152696049e-05,low_conf_reject,0,0,none
64.0,487,31713,30k-60k,38865,20k-50k,48,37-60m,0.6010572141517163,0.6367863989514666,0.5179707712908864,Medium,0,8.001282967141127e-11,low_conf_reject,0,0,none
54.0,536,29900,<30k,23396,20k-50k,72,60m+,0.1858154591411437,0.51853760254114,0.2821496426749192,Medium,0,8.893174502547202e-08,low_conf_reject,0,0,none
43.2,608,87673,60k-100k,10667,5k-20k,72,60m+,0.3856831470770867,0.1376717813683426,0.0384394065208982,Medium,1,0.9999427304330921,low_conf_approve,0,0,none
61.0,565,55454,30k-60k,35551,20k-50k,36,13-36m,0.5263880901334251,0.5685388820500045,0.3075658232986064,Medium,0,5.381392751877888e-09,low_conf_reject,0,0,none
47.0,558,40722,30k-60k,31637,20k-50k,120,60m+,0.1438867784578108,0.326964793951833,0.24769560285119938,Medium,0,3.6734071873385564e-05,low_conf_reject,0,0,none
46.0,680,76571,60k-100k,34173,20k-50k,48,37-60m,0.216618899532913,0.2242328623445195,0.16044892325530866,Medium,0,0.004108388377214059,low_conf_reject,0,0,none
53.0,525,22901,<30k,18493,5k-20k,48,37-60m,0.2641119559708486,0.4740528125440489,0.323142371951935,Medium,0,5.646308019537904e-06,low_conf_reject,0,0,none
51.0,609,49421,30k-60k,17161,5k-20k,72,60m+,0.2587870541153639,0.2206675790573644,0.11431602809724627,Medium,0,0.00016337399197352206,low_conf_reject,0,0,none
60.0,611,43507,30k-60k,31845,20k-50k,48,37-60m,0.0847899222421028,0.448978803128064,0.2989339827543319,Medium,0,6.560742384742097e-08,low_conf_reject,0,0,none
50.0,572,41402,30k-60k,25900,20k-50k,36,13-36m,0.0923347235350403,0.4150678631356994,0.29362445460470993,Medium,0,7.209390345977731e-06,low_conf_reject,0,0,none
56.0,626,37405,30k-60k,15770,5k-20k,48,37-60m,0.2996445580910432,0.2974035458340298,0.1556043211314498,Medium,0,3.701358011842587e-05,low_conf_reject,0,0,none
51.0,564,48399,30k-60k,19629,5k-20k,48,37-60m,0.2145117695194217,0.2510053336333399,0.16521843720986001,Medium,0,0.000173809408421711,low_conf_reject,0,0,none
51.0,574,44775,30k-60k,20270,20k-50k,48,37-60m,0.1961324000931501,0.2321454899333234,0.17103996229513246,Medium,0,8.241741428658343e-05,low_conf_reject,0,0,none
40.8,580,125711,100k+,12133,5k-20k,48,37-60m,0.2147964982057931,0.0882051686371857,0.036371995724711885,Medium,1,0.9996378246631077,low_conf_approve,0,0,none
59.0,634,15131,<30k,25599,20k-50k,48,37-60m,0.3810705651994572,0.9272101987092892,0.6488412872031101,Medium,0,4.917117297721916e-10,low_conf_reject,0,0,none
41.6,603,73576,60k-100k,12055,5k-20k,36,13-36m,0.24930210540325,0.1507116998870917,0.07063123886719393,Medium,1,0.9975486421502955,low_conf_approve,0,0,none
52.0,602,50345,30k-60k,18805,5k-20k,48,37-60m,0.0879305410086949,0.2493894620443746,0.1442747535331023,Medium,0,3.4980989979399835e-06,low_conf_reject,0,0,none
28.8,669,56816,30k-60k,20719,20k-50k,12,<=12m,0.0764620140703347,0.4536177821132481,0.39278984632051395,Low,1,0.999998263335387,low_conf_approve,0,0,none
52.0,621,34588,30k-60k,18962,5k-20k,48,37-60m,0.2816647708675246,0.3688642527332226,0.21482238850285382,Medium,0,1.379529163050839e-05,low_conf_reject,0,0,none
40.0,565,55383,30k-60k,9093,5k-20k,48,37-60m,0.0936257148249453,0.1542540985822655,0.06346811732447885,Medium,1,0.9917389859635727,low_conf_approve,0,0,none
40.0,551,65180,60k-100k,15086,5k-20k,72,60m+,0.1893285066405936,0.1313481793912704,0.07188208549743792,Medium,1,0.9973090568730579,low_conf_approve,0,0,none
56.0,523,15000,<30k,13879,5k-20k,60,37-60m,0.3668960471331983,0.5368186207226998,0.3384186207227,Medium,0,4.613994647370339e-07,low_conf_reject,0,0,none
37.6,560,149736,100k+,27917,20k-50k,48,37-60m,0.3647327710678125,0.1174759893208244,0.06907079618089815,Low,1,0.9999990961279518,low_conf_approve,0,0,none
53.0,585,42717,30k-60k,41561,20k-50k,24,13-36m,0.252630803759783,0.6938166438998383,0.6022371790497788,Medium,0,1.911746845721373e-08,low_conf_reject,0,0,none
40.0,590,66417,60k-100k,9493,5k-20k,48,37-60m,0.1906296164057773,0.1251793100176695,0.05146324334799169,Medium,1,0.9987123535393171,low_conf_approve,0,0,none
47.0,602,22121,<30k,18805,5k-20k,60,37-60m,0.0641242479182796,0.4278763599607598,0.2922586211605249,Medium,0,4.890987275960777e-05,low_conf_reject,0,0,none
49.0,620,37558,30k-60k,18686,5k-20k,60,37-60m,0.2197450342212391,0.2563444172023625,0.1675217961895291,Medium,0,0.0003599463855889499,low_conf_reject,0,0,none
40.0,621,134691,100k+,16421,5k-20k,24,13-36m,0.169401203082851,0.1284015849236877,0.07432224777421235,Medium,1,0.999994840903815,low_conf_approve,0,0,none
46.0,539,33101,30k-60k,29824,20k-50k,60,37-60m,0.1637510519359936,0.4401786990222462,0.31039410036963744,Medium,0,0.000639989445468256,low_conf_reject,0,0,none
40.8,439,44364,30k-60k,5538,5k-20k,36,13-36m,0.3018415197190495,0.1447156136853083,0.06005237322006626,Medium,1,0.9999836812574213,low_conf_approve,0,0,none
60.0,499,38596,30k-60k,13078,5k-20k,36,13-36m,0.3877176939850358,0.2537262360513003,0.1629396260399002,Medium,0,7.374335837831468e-05,low_conf_reject,0,0,none
56.0,439,139954,100k+,40858,20k-50k,48,37-60m,0.4489110385391811,0.1538094965534717,0.1286869562902425,Medium,0,0.0009224140224555915,low_conf_reject,0,0,none
55.0,521,53444,30k-60k,16462,5k-20k,60,37-60m,0.237526015053893,0.2808051128433493,0.11689522585884222,Medium,0,5.024936938800533e-06,low_conf_reject,0,0,none
35.2,643,113523,100k+,10990,5k-20k,60,37-60m,0.2217120257217952,0.0761661709781654,0.031029943077211384,Low,1,0.9999989312208394,low_conf_approve,0,0,none
58.0,581,31270,30k-60k,6624,5k-20k,12,<=12m,0.0920790813606543,0.2901895343596445,0.23224262038458846,Medium,0,2.6129681908166196e-06,low_conf_reject,0,0,none
57.0,520,46717,30k-60k,20915,20k-50k,60,37-60m,0.4418981690673736,0.3145641869935919,0.156334848637105,Medium,0,4.94803505141202e-06,low_conf_reject,0,0,none
56.0,564,56613,30k-60k,25148,20k-50k,36,13-36m,0.4353465580683332,0.2815708476003528,0.2095025947255713,Medium,0,1.8579008619720954e-05,low_conf_reject,0,0,none
47.0,612,86882,60k-100k,51374,50k+,72,60m+,0.225287112967231,0.2558904078197905,0.20340542819225016,Medium,0,0.0007028727181015172,low_conf_reject,0,0,none
51.0,598,69876,60k-100k,17992,5k-20k,96,60m+,0.2581546911234629,0.1729100964686638,0.07931572930397218,Medium,0,0.00022804780068344833,low_conf_reject,0,0,none
55.0,513,32582,30k-60k,26598,20k-50k,60,37-60m,0.1466522547528528,0.3857918046127621,0.3007141543764352,Medium,0,3.654557022376166e-08,low_conf_reject,0,0,none
54.0,612,101562,100k+,30836,20k-50k,84,60m+,0.1895148847247776,0.127299765812209,0.08913588562079884,Medium,0,0.0001370779138657952,low_conf_reject,0,0,none
54.0,548,24611,<30k,21110,20k-50k,24,13-36m,0.222317808740061,0.7864092776851285,0.5479793073466597,Medium,0,3.2604025117237635e-08,low_conf_reject,0,0,none
55.0,594,22390,<30k,17603,5k-20k,120,60m+,0.3996419437011357,0.4523089503356587,0.24382301911636428,Medium,0,2.145811720885451e-07,low_conf_reject,0,0,none
50.0,605,47430,30k-60k,32684,20k-50k,60,37-60m,0.191575883028812,0.3296156618288332,0.2342329926321222,Medium,0,9.282623111986817e-06,low_conf_reject,0,0,none
53.0,500,57105,30k-60k,24760,20k-50k,36,13-36m,0.3289675827238538,0.2471892681380032,0.21188587964312477,Medium,0,0.0004741117697351078,low_conf_reject,0,0,none
59.0,536,28751,<30k,30150,20k-50k,60,37-60m,0.3386737526920623,0.5191025769240253,0.3759423390192565,Medium,0,1.326193621512589e-09,low_conf_reject,0,0,none
48.0,547,43567,30k-60k,17390,5k-20k,24,13-36m,0.2657086420246948,0.3376063520461543,0.252771499979223,Medium,0,0.027477782989654292,low_conf_reject,0,0,none
60.0,575,20113,<30k,27214,20k-50k,36,13-36m,0.4527286073123595,0.8328063706573645,0.6257760917332851,Medium,0,1.237240052006242e-10,low_conf_reject,0,0,none
59.0,682,52633,30k-60k,13197,5k-20k,120,60m+,0.1779702798550773,0.1422412880044282,0.06312742407875417,Medium,0,7.131780730955057e-06,low_conf_reject,0,0,none
